emotion,Team Leader,HR Manager,Crisis Manager,Innovation Head,Quality Assurance Manager,Security Officer,Operations Manager,Researcher,Sales Representative,Marketing Director,Customer Support,Project Manager,Executive,Product Manager,Negotiator,Entrepreneur,Financial Analyst,Training Manager,Public Relations Officer,Data Scientist,Business Analyst,Software Engineer,IT Support Specialist,UX/UI Designer,Accountant,Legal Advisor,Supply Chain Manager,Graphic Designer,Operations Research Analyst,Logistics Coordinator,Customer Success Manager,Marketing Manager,Content Strategist,Social Media Manager,Chief Technology Officer (CTO),Chief Executive Officer (CEO),Chief Financial Officer (CFO),Chief Operations Officer (COO),Recruiter
decisiveness,49,71,91,71,64,86,34,46,68,76,55,97,61,51,99,41,88,97,76,30,48,85,68,36,64,65,31,50,36,67,57,66,75,55,71,74,72,32,77
decisiveness,59,36,32,83,70,67,45,63,75,73,80,96,92,58,64,93,73,65,45,75,86,30,73,36,43,95,59,73,58,81,95,95,58,38,89,86,99,46,88
confidence,68,91,33,89,62,41,97,50,33,97,85,52,98,30,82,86,78,86,77,65,35,85,82,47,30,52,70,60,84,35,79,45,90,36,99,48,57,89,84
stability,81,41,96,75,94,65,55,39,98,49,95,39,56,84,98,80,70,66,76,34,92,41,57,79,74,62,68,86,89,60,63,55,77,100,71,88,51,63,31
empathy,67,100,93,50,62,36,96,97,98,70,60,79,90,83,89,92,74,33,41,84,50,34,86,67,83,97,79,69,86,48,58,62,83,82,32,44,38,70,97
attention_to_detail,69,36,68,50,30,84,75,75,36,48,46,57,41,97,61,91,38,45,57,52,84,62,42,70,92,100,89,91,71,32,68,52,93,100,70,83,88,43,71
attention_to_detail,68,97,58,48,90,72,100,100,75,46,85,42,96,86,41,71,38,89,81,70,60,67,59,44,97,70,68,83,83,42,46,60,47,54,30,44,61,30,55
decisiveness,99,51,79,54,79,44,59,75,55,66,70,51,85,41,74,74,52,51,57,98,99,78,57,71,41,32,35,40,44,82,49,57,33,47,86,88,51,73,41
attention_to_detail,35,39,100,55,30,67,78,52,99,35,83,99,96,50,88,60,80,52,61,95,52,85,91,52,70,50,54,98,59,44,47,57,73,33,33,80,67,62,66
empathy,65,99,76,36,84,54,50,85,40,55,53,91,82,90,72,83,61,90,40,39,77,35,92,35,94,35,57,50,63,100,50,60,86,80,74,90,30,38,83
decisiveness,79,45,31,43,99,64,68,80,66,34,58,47,41,69,37,69,35,35,60,49,35,92,78,87,47,71,74,95,57,75,67,93,63,63,60,81,100,93,86
confidence,83,73,93,45,92,98,95,91,80,45,97,38,55,51,100,65,87,49,77,48,43,84,76,94,77,55,39,80,80,85,85,88,30,69,90,59,31,50,61
creativity,62,78,97,45,99,37,77,45,94,41,59,32,66,98,56,78,88,60,65,45,71,92,91,63,78,48,64,61,71,76,51,45,100,85,76,90,77,35,96
empathy,80,86,32,80,86,66,99,64,79,61,99,77,56,54,52,82,72,49,78,38,82,61,58,100,68,71,77,79,43,46,73,83,97,92,71,55,47,33,82
attention_to_detail,46,68,66,85,79,91,72,78,92,90,97,95,100,97,95,65,52,80,55,73,83,31,82,46,66,99,36,85,83,62,37,43,91,83,93,66,44,36,78
stability,53,62,67,84,77,94,44,78,43,57,31,85,69,86,77,39,48,76,34,42,38,61,30,46,96,93,75,88,100,78,79,80,46,88,62,94,90,73,63
vigilance,98,73,96,69,73,59,34,41,52,54,79,97,32,99,85,30,90,67,82,44,66,51,63,39,71,64,35,98,98,83,38,80,32,41,50,38,48,78,61
creativity,92,39,47,50,33,68,35,31,57,87,39,37,61,52,93,32,95,79,65,55,77,84,87,75,40,72,40,71,46,43,93,53,74,75,79,70,46,73,100
vigilance,64,35,57,41,41,71,73,74,99,31,71,52,66,60,32,52,70,50,87,53,39,39,83,98,54,51,70,81,65,68,53,100,48,87,75,94,75,84,73
creativity,33,72,64,60,31,47,42,57,97,69,76,64,99,97,58,67,52,63,94,35,64,72,84,64,62,87,50,100,31,67,68,75,86,75,89,88,67,42,34
creativity,39,73,83,53,89,65,70,67,78,45,43,46,58,69,82,30,62,86,41,49,90,62,72,33,64,88,53,38,64,59,35,81,62,79,53,33,81,88,94
empathy,36,78,57,60,91,48,58,59,84,88,79,90,61,86,37,65,35,89,99,76,85,86,79,53,78,77,69,59,69,54,93,86,56,100,70,95,30,89,56
vigilance,41,62,68,63,91,32,48,87,78,80,53,90,55,73,42,41,64,86,49,73,96,84,48,73,82,51,54,59,72,90,80,78,73,60,92,81,89,79,75
attention_to_detail,77,91,54,56,32,61,59,34,79,82,93,92,75,48,72,69,51,99,86,38,31,47,98,89,45,60,87,64,78,80,79,98,48,44,58,41,70,63,43
empathy,45,84,58,41,66,69,49,41,93,48,66,71,46,32,88,66,95,40,93,58,87,59,65,92,89,82,33,61,63,74,85,90,72,80,63,70,60,55,54
vigilance,80,84,74,66,92,40,64,87,57,34,99,93,73,87,49,50,30,75,91,33,85,42,80,87,34,94,74,42,67,76,79,98,61,73,98,83,89,100,39
creativity,88,88,100,66,69,54,79,86,97,90,39,77,85,90,90,40,59,55,70,47,66,91,52,62,71,92,62,40,48,69,40,49,65,84,58,64,78,63,41
creativity,80,46,45,42,42,34,88,50,35,52,96,49,30,66,33,97,69,46,37,32,32,77,95,35,80,90,57,52,97,90,94,36,64,91,87,90,52,73,95
vigilance,72,82,31,70,35,100,67,74,72,36,86,84,40,100,59,74,86,43,86,57,99,71,59,68,38,73,37,75,35,58,77,82,89,100,80,81,38,93,41
attention_to_detail,38,37,57,49,60,88,48,59,87,97,43,90,39,96,99,94,36,76,60,99,58,81,39,36,81,31,86,68,64,42,50,64,75,49,63,68,36,94,48
decisiveness,49,50,93,94,37,96,51,56,45,58,40,60,98,65,65,94,95,38,44,56,48,49,57,37,94,33,88,43,90,80,62,78,38,71,72,72,47,81,58
stability,49,88,74,48,67,97,47,72,36,74,42,57,54,38,38,79,48,73,73,48,97,87,49,41,93,91,61,58,95,98,49,86,97,93,78,35,65,48,53
decisiveness,79,32,94,77,51,73,100,74,75,67,65,43,95,37,61,50,67,50,51,95,47,91,45,57,94,53,52,88,42,78,92,35,78,91,84,51,95,72,37
stability,55,51,82,67,45,95,43,84,44,55,57,52,48,53,89,52,98,42,50,88,73,73,66,78,39,32,37,74,85,50,73,49,39,74,57,62,65,89,44
empathy,35,98,49,63,72,61,63,67,39,89,64,48,78,54,66,45,63,49,61,68,100,72,62,49,38,94,62,100,65,72,53,74,91,76,96,63,57,54,51
attention_to_detail,95,69,92,69,77,82,97,83,82,85,39,87,53,73,96,72,70,52,54,100,74,70,43,100,51,74,90,81,38,74,59,40,67,71,59,36,47,37,42
decisiveness,93,76,31,44,45,58,82,31,73,30,99,68,81,60,64,81,59,95,92,79,53,42,39,51,32,91,83,95,83,73,31,77,39,80,41,71,48,58,54
vigilance,39,77,92,73,51,31,63,56,36,83,53,85,60,86,84,78,53,47,54,77,47,57,41,81,33,67,52,38,72,76,33,37,62,45,38,81,37,40,89
attention_to_detail,32,79,81,32,36,62,90,47,87,61,82,48,77,60,69,67,33,49,33,98,57,63,91,38,78,76,54,56,73,55,73,57,76,31,95,96,40,72,56
empathy,69,65,53,56,62,35,92,70,100,86,47,76,55,31,69,76,44,53,98,57,89,32,88,46,53,96,94,43,99,63,34,56,83,94,44,77,65,45,47
vigilance,65,79,78,95,38,81,45,58,56,45,91,90,92,85,83,91,76,61,39,88,37,97,54,45,32,100,36,89,77,41,31,87,63,65,45,98,46,98,89
attention_to_detail,91,31,72,65,97,90,73,78,35,31,32,36,43,57,48,48,58,85,50,90,49,66,98,77,73,67,61,62,97,70,98,37,90,64,69,57,62,87,97
decisiveness,73,50,53,78,33,43,90,93,47,61,73,52,89,34,85,49,62,97,44,70,78,38,80,53,36,75,82,65,42,80,54,36,98,94,59,68,85,95,67
vigilance,69,82,38,30,77,31,67,95,90,61,37,37,32,50,60,30,53,93,91,67,51,52,44,49,96,59,61,32,59,49,89,67,87,33,67,55,86,73,80
stability,70,62,45,94,65,58,57,85,34,58,98,95,42,80,31,40,70,34,94,32,67,96,48,73,32,70,54,93,66,53,100,49,58,36,40,70,91,54,93
decisiveness,41,72,36,61,64,69,31,95,53,65,90,80,61,35,100,61,45,89,53,64,41,50,38,79,70,61,52,41,98,67,34,73,62,68,52,83,81,54,66
stability,56,74,91,93,39,97,88,66,31,33,83,82,49,72,68,77,99,61,76,51,60,34,72,92,89,43,86,84,91,93,34,83,72,80,83,100,84,51,82
decisiveness,40,75,99,70,93,90,94,57,61,96,82,37,46,30,60,89,90,59,78,52,96,96,94,86,91,39,38,49,55,71,53,82,35,80,64,97,35,64,37
stability,70,52,93,47,79,66,35,53,40,51,82,91,34,98,31,48,54,73,99,30,86,40,48,33,77,83,47,37,64,85,69,44,40,84,58,92,76,51,74
confidence,88,61,34,90,37,67,69,80,94,77,75,47,56,85,55,66,99,34,63,82,78,76,51,85,72,84,38,43,53,86,85,79,95,69,48,41,43,87,100
attention_to_detail,100,83,45,66,66,96,63,58,86,39,71,58,95,60,54,98,33,65,45,57,93,48,37,89,48,81,34,68,63,88,33,68,60,32,33,72,87,72,77
stability,65,59,63,79,38,47,49,87,45,98,57,70,85,77,95,31,55,52,33,36,44,60,59,85,59,62,84,70,56,59,100,67,48,87,37,88,88,58,68
decisiveness,49,95,85,68,68,61,38,35,39,72,81,48,64,76,88,33,93,72,51,81,39,71,47,41,91,77,54,67,94,89,46,77,36,56,61,68,51,59,54
confidence,46,48,56,62,35,47,67,88,74,80,53,78,60,70,45,97,64,52,38,43,62,62,49,35,59,66,65,50,72,90,66,36,75,76,63,66,77,92,51
attention_to_detail,97,38,74,48,63,81,55,85,35,50,67,38,50,35,49,57,47,94,56,45,94,46,43,95,40,61,84,38,72,90,35,76,67,55,67,63,50,97,39
empathy,77,60,100,44,59,41,31,62,37,78,40,81,95,72,89,87,44,65,78,44,76,49,84,74,69,55,90,95,34,60,86,89,73,70,71,55,83,55,41
stability,35,65,86,99,71,85,56,55,65,90,92,89,98,62,71,43,43,66,84,38,38,39,89,32,36,35,38,35,33,63,33,95,68,51,35,40,63,97,73
creativity,96,97,47,30,80,64,65,32,31,85,37,82,66,32,62,47,75,48,88,79,76,82,71,78,65,75,76,63,86,40,45,51,67,60,36,90,74,66,42
confidence,50,94,74,65,73,41,51,57,66,71,93,87,88,97,50,44,80,39,68,50,60,62,78,30,45,95,77,73,62,59,80,56,63,75,73,73,87,98,82
decisiveness,92,87,34,51,37,41,83,75,91,50,41,58,99,45,96,37,58,37,97,50,30,50,63,69,79,35,54,73,94,32,61,77,52,81,71,86,99,56,84
stability,52,100,77,58,73,89,46,67,88,58,43,92,44,53,68,67,47,55,71,49,69,63,78,93,75,81,95,36,78,67,54,96,63,63,98,62,56,45,51
stability,55,44,88,73,67,81,50,62,90,99,36,61,92,48,39,40,67,84,78,35,34,44,61,60,60,97,48,83,41,38,51,32,79,41,37,62,77,78,67
vigilance,72,68,32,73,65,40,66,89,67,35,52,91,42,31,83,84,34,66,75,45,40,93,93,93,91,33,96,53,58,47,84,80,82,76,58,83,90,39,64
confidence,59,60,57,83,93,82,88,81,63,36,48,86,76,96,63,73,38,88,56,81,74,98,95,65,55,71,63,51,71,92,40,42,36,47,35,85,76,89,32
confidence,91,80,88,58,64,58,88,31,46,48,79,97,52,83,51,60,54,54,42,77,95,77,49,72,99,40,35,86,47,56,55,39,36,32,95,85,50,82,92
vigilance,52,100,68,98,30,46,43,42,50,35,97,42,33,50,76,80,94,66,41,62,76,73,56,91,98,78,53,68,68,72,76,45,46,89,76,87,89,69,74
confidence,48,30,96,77,88,99,57,50,87,72,85,100,72,68,45,88,66,40,41,33,53,98,79,74,75,66,40,71,67,84,61,55,32,97,100,83,45,74,69
vigilance,85,93,82,88,67,95,48,72,37,45,72,50,47,55,44,74,40,56,73,57,91,72,100,67,73,75,36,48,81,97,62,37,43,84,77,71,38,51,63
stability,93,47,76,86,43,38,77,47,46,73,39,99,30,48,79,58,98,49,42,79,37,62,82,30,75,38,83,33,100,50,63,55,97,44,51,80,44,37,85
decisiveness,38,83,91,51,58,87,40,86,31,61,87,34,54,46,52,92,96,32,90,85,41,79,59,60,72,61,96,49,62,30,93,72,69,89,93,49,42,64,34
confidence,76,36,80,57,60,51,60,37,81,76,54,80,41,65,67,48,56,89,53,86,87,52,35,85,76,94,72,71,49,58,36,80,71,84,35,75,50,59,53
attention_to_detail,60,61,75,78,95,45,62,71,46,62,72,49,61,72,69,65,46,55,89,97,85,90,64,37,88,100,73,39,67,97,70,94,100,97,39,98,80,45,94
creativity,87,92,98,30,86,68,72,37,32,87,92,62,43,62,82,78,66,52,33,71,64,99,86,92,57,92,94,98,69,96,96,50,53,69,56,88,60,81,76
vigilance,56,59,82,71,63,39,44,33,60,92,48,98,98,58,87,30,72,87,78,95,32,97,59,75,43,68,69,97,38,44,32,69,42,39,83,55,30,93,59
stability,77,79,50,99,58,90,91,77,98,94,60,41,30,59,61,56,66,66,85,52,31,95,56,37,89,73,41,43,43,41,83,31,61,77,35,40,32,82,41
empathy,49,63,90,42,38,71,82,39,99,70,58,36,68,50,54,91,100,100,65,91,30,42,90,46,58,86,39,67,57,52,69,55,90,60,68,66,53,68,56
creativity,73,42,95,46,84,39,53,92,58,52,30,81,41,98,37,71,49,98,41,81,50,53,92,39,81,97,51,81,64,57,66,46,90,39,97,51,88,39,55
empathy,73,91,49,32,89,51,57,61,32,91,43,83,85,74,58,53,30,93,55,36,59,74,83,50,47,57,93,59,51,41,96,69,66,40,75,98,58,42,68
decisiveness,74,65,84,73,77,74,73,58,65,32,65,66,64,76,76,72,53,94,77,59,48,73,69,87,50,76,90,83,88,32,50,72,36,80,91,62,93,87,51
confidence,99,76,61,73,96,76,46,73,83,57,42,58,65,61,37,72,76,45,74,43,35,36,92,86,54,78,65,33,66,56,98,54,73,55,93,52,92,81,96
confidence,86,74,92,44,41,94,64,66,45,87,34,63,36,35,53,91,44,52,56,42,85,95,97,60,36,99,75,99,71,43,43,72,74,84,72,69,35,73,49
decisiveness,71,60,79,92,80,57,80,57,70,35,80,65,55,35,33,41,53,59,70,47,43,79,65,44,34,81,72,94,66,46,35,40,91,68,60,52,95,50,35
creativity,95,46,97,39,87,65,91,34,49,81,45,85,50,45,96,79,46,35,100,91,49,73,62,38,64,74,66,33,82,98,79,75,95,62,46,78,68,74,81
vigilance,51,96,61,83,77,54,94,31,64,41,66,89,77,90,80,93,77,32,40,56,37,45,58,31,43,74,72,90,89,90,90,67,83,78,95,32,100,68,62
confidence,39,48,39,69,77,68,67,63,73,90,99,95,95,93,92,36,36,48,57,88,95,85,35,87,78,71,95,43,42,99,72,94,81,31,33,53,76,81,59
confidence,73,100,46,73,87,75,90,65,57,90,74,75,87,40,95,88,95,44,73,43,94,42,65,60,35,41,37,83,98,100,85,80,67,31,73,54,77,78,64
vigilance,80,31,93,99,96,66,80,39,95,68,57,80,30,41,31,75,60,75,63,69,72,82,74,76,49,84,95,65,36,69,61,51,100,32,44,39,78,88,44
creativity,85,99,94,95,85,65,52,98,65,54,54,54,32,41,47,51,34,47,30,35,66,60,46,100,60,75,40,76,71,80,37,84,84,96,90,92,86,84,78
decisiveness,91,63,40,33,71,78,47,46,64,49,45,66,30,71,92,74,82,77,67,65,79,37,36,46,69,75,71,45,72,74,94,36,39,92,50,89,63,53,89
empathy,84,34,70,94,84,57,69,68,71,50,97,31,99,86,41,56,65,74,37,65,31,68,33,57,70,65,41,71,46,47,54,32,66,81,71,79,96,64,96
decisiveness,54,74,37,51,41,84,45,87,98,47,84,35,84,30,91,87,34,47,33,49,48,32,50,69,38,48,71,48,48,53,63,47,36,93,84,68,42,33,97
decisiveness,72,39,64,94,84,40,78,46,84,91,100,52,37,60,34,31,100,92,58,37,96,50,90,46,44,83,75,77,85,68,98,71,75,93,83,60,68,37,58
attention_to_detail,78,73,50,41,39,73,73,30,48,51,80,74,72,39,38,59,85,91,81,64,97,43,70,60,41,80,36,79,80,84,76,84,83,64,49,79,63,57,81
vigilance,97,63,58,61,49,87,90,73,91,33,50,32,82,78,83,37,58,43,93,47,70,42,90,74,98,52,43,43,40,72,39,70,59,85,40,44,77,55,32
stability,45,32,99,32,60,83,45,60,86,80,94,82,45,92,88,36,48,87,37,82,38,76,52,53,51,39,74,66,56,74,32,57,48,40,51,41,51,58,98
confidence,36,81,70,89,44,63,82,51,41,95,64,83,61,58,73,43,57,70,53,57,30,91,37,63,45,39,88,68,36,66,48,34,58,30,54,86,30,79,47
attention_to_detail,70,93,32,99,52,57,30,43,64,63,60,34,82,91,64,37,57,97,80,34,83,43,90,93,70,74,65,87,54,78,96,53,91,41,81,66,80,53,71
vigilance,69,33,42,92,55,64,77,41,62,70,39,30,83,97,99,96,46,73,75,66,77,72,75,66,64,85,95,75,30,53,65,39,85,82,39,90,43,31,79
decisiveness,33,73,87,80,97,31,95,85,97,84,51,38,60,52,84,32,44,32,96,64,72,84,74,40,100,52,35,53,60,72,91,44,82,37,76,49,89,93,59
decisiveness,33,37,63,100,100,77,51,84,48,86,61,44,70,55,74,76,31,50,100,62,45,97,84,36,54,70,81,45,97,68,32,94,54,34,93,64,78,96,37
confidence,91,32,58,51,64,64,75,54,67,39,32,46,91,59,73,35,38,81,92,44,69,36,64,97,36,96,92,38,44,45,91,50,50,64,99,97,44,46,70
vigilance,74,86,93,40,95,75,51,45,79,70,94,43,71,92,95,55,66,62,52,77,86,46,36,62,86,100,62,34,78,75,93,52,100,50,52,71,60,73,52
confidence,36,33,47,83,35,64,66,65,85,74,37,38,63,52,73,81,55,54,67,41,70,74,58,69,91,81,84,30,68,87,95,73,30,43,96,90,86,96,95
vigilance,81,54,51,57,84,33,71,48,82,95,89,98,71,76,55,98,86,48,33,98,98,34,94,94,32,36,53,89,67,78,56,32,57,40,80,92,95,92,92
confidence,90,86,95,55,64,45,54,57,64,47,37,67,40,60,80,62,80,34,79,41,66,32,34,92,93,43,54,50,47,63,71,53,45,72,49,54,57,79,45
confidence,98,39,44,48,91,83,66,56,51,31,47,76,32,49,81,65,98,61,77,76,100,52,53,77,89,90,46,47,51,47,83,93,52,51,57,72,47,32,53
confidence,100,71,95,66,61,67,60,68,49,32,43,80,35,66,75,65,86,78,91,81,55,65,74,33,66,67,60,47,66,66,84,67,49,51,63,91,100,61,44
vigilance,53,83,96,61,47,33,53,44,80,90,48,46,36,37,91,59,62,49,100,53,55,94,35,96,33,93,80,56,57,56,94,60,40,100,32,93,50,88,59
vigilance,31,72,72,46,100,31,67,71,48,89,69,71,88,100,30,71,66,70,96,98,77,75,59,63,69,93,48,60,77,56,66,32,94,97,59,77,39,47,83
vigilance,33,64,52,72,88,31,92,33,36,35,80,78,53,32,72,35,84,96,66,65,64,90,73,100,61,59,36,77,32,86,97,96,84,82,97,31,94,55,53
stability,33,31,44,52,85,50,83,92,60,47,32,78,37,92,56,51,80,36,32,46,32,58,84,88,53,48,63,44,66,86,68,69,30,75,53,58,85,90,31
stability,50,77,52,30,32,45,98,64,45,46,96,34,97,84,44,86,43,38,59,47,88,88,60,42,53,44,44,96,42,47,31,77,74,43,69,98,66,55,87
creativity,37,82,80,62,60,66,42,62,50,73,60,68,71,90,80,93,88,83,83,37,79,100,40,60,85,74,81,65,62,91,73,39,87,72,57,69,74,44,94
stability,42,92,96,36,60,65,77,58,51,75,93,100,46,43,95,53,86,41,84,76,63,48,74,50,74,48,72,47,95,41,57,79,94,42,70,58,64,60,48
empathy,88,48,74,31,87,80,92,86,68,82,90,46,84,89,84,56,74,66,44,63,59,41,31,57,49,84,77,53,82,60,64,46,75,31,36,49,47,67,68
empathy,92,49,97,30,39,49,43,36,69,89,38,42,43,63,37,30,38,91,37,67,50,58,96,79,33,99,51,34,76,64,48,54,82,77,99,51,57,72,70
confidence,88,77,58,85,76,80,55,33,58,58,76,80,70,96,94,37,47,68,45,75,68,52,80,81,82,82,83,95,32,54,90,56,53,39,49,98,32,48,49
confidence,90,77,42,54,87,45,32,67,35,84,48,35,82,64,71,88,63,45,60,48,84,57,77,50,83,66,51,81,87,53,98,61,94,53,38,75,80,96,94
attention_to_detail,87,61,99,43,98,92,76,88,73,94,89,45,87,54,93,48,58,68,39,88,31,45,43,67,75,54,39,39,52,100,81,95,84,79,35,62,66,30,79
creativity,32,92,96,80,35,91,41,58,37,39,88,41,31,96,100,54,71,94,36,93,80,56,33,53,49,49,52,68,37,34,48,37,59,89,71,37,39,49,47
