emotion,Team Leader,HR Manager,Crisis Manager,Innovation Head,Quality Assurance Manager,Security Officer,Operations Manager,Researcher,Sales Representative,Marketing Director,Customer Support,Project Manager,Executive,Product Manager,Negotiator,Entrepreneur,Financial Analyst,Training Manager,Public Relations Officer,Data Scientist,Business Analyst,Software Engineer,IT Support Specialist,UX/UI Designer,Accountant,Legal Advisor,Supply Chain Manager,Graphic Designer,Operations Research Analyst,Logistics Coordinator,Customer Success Manager,Marketing Manager,Content Strategist,Social Media Manager,Chief Technology Officer (CTO),Chief Executive Officer (CEO),Chief Financial Officer (CFO),Chief Operations Officer (COO),Recruiter
empathy,60,87,80,87,63,32,70,66,81,33,62,73,52,67,64,44,67,93,41,58,38,67,65,74,49,84,82,69,55,79,73,46,77,95,95,59,60,62,49
stability,59,82,98,39,75,42,37,79,36,59,45,89,39,50,80,68,76,42,97,75,39,76,34,86,48,66,55,61,97,65,37,96,73,88,37,97,42,47,59
empathy,86,49,66,47,86,36,52,52,48,32,78,51,32,79,60,47,40,87,41,56,95,81,52,44,54,31,71,67,67,69,95,97,50,55,43,61,72,78,33
vigilance,93,78,72,62,86,73,38,66,36,53,32,84,86,89,99,40,40,71,67,67,58,69,88,81,80,71,76,53,66,66,44,58,44,37,60,72,87,57,71
confidence,83,52,35,95,50,54,64,37,53,60,65,74,60,94,89,54,68,93,91,67,46,67,62,71,43,89,91,37,94,37,92,82,69,59,67,95,65,79,89
creativity,38,68,85,72,47,91,64,68,50,89,47,90,53,80,87,89,35,67,97,32,86,67,46,83,69,77,47,86,72,83,86,80,43,70,39,85,39,54,86
decisiveness,85,100,93,34,74,78,99,86,50,45,32,42,46,85,83,44,82,63,37,66,79,35,86,49,59,55,70,56,84,74,75,50,94,72,69,64,35,76,76
decisiveness,54,93,45,79,92,97,93,61,76,96,66,91,88,73,53,59,54,39,42,95,61,76,95,35,49,69,64,78,42,51,100,52,64,57,100,70,71,97,48
empathy,90,49,85,66,71,45,40,60,45,62,51,46,72,82,71,40,38,82,77,88,61,62,39,68,71,84,37,36,57,69,51,86,51,37,76,53,94,53,98
vigilance,49,43,72,98,93,99,44,45,74,45,84,47,60,95,89,81,99,95,79,76,30,64,73,93,93,66,91,83,30,39,77,69,38,65,36,96,72,83,83
decisiveness,73,33,73,86,35,88,75,71,58,56,97,33,58,65,42,44,58,49,69,100,69,41,40,68,53,100,49,41,51,39,99,74,81,59,76,71,95,87,84
empathy,47,67,44,32,64,63,86,61,58,91,99,63,52,77,33,87,31,66,85,63,70,95,82,77,91,55,30,95,82,82,75,54,88,92,64,61,48,78,57
empathy,86,69,94,81,95,50,40,84,71,43,78,56,62,52,30,45,93,84,74,84,69,98,59,34,69,61,58,81,48,65,71,73,92,58,63,86,67,91,69
stability,65,88,47,35,68,77,96,88,83,50,80,32,31,88,45,33,66,33,44,40,82,98,50,67,91,65,60,44,79,61,81,94,51,83,34,38,92,96,85
decisiveness,54,42,65,62,72,67,93,74,72,95,62,87,62,52,87,70,66,31,45,31,38,41,94,60,97,95,76,66,43,31,74,82,84,61,90,68,39,86,40
vigilance,61,94,66,89,79,40,62,94,62,51,63,51,96,89,36,92,55,40,33,95,94,56,92,70,76,96,33,70,93,61,92,38,72,84,49,85,31,70,77
vigilance,30,69,33,40,93,71,87,64,62,94,58,43,100,92,35,58,98,52,79,46,76,54,53,96,40,91,99,94,89,82,33,82,85,40,34,89,71,72,43
empathy,48,55,54,94,68,82,42,98,99,73,83,45,70,93,30,53,70,68,71,30,69,97,57,74,63,46,31,59,49,87,49,36,87,76,49,62,60,85,38
confidence,47,51,72,80,90,96,56,39,45,57,94,79,97,44,67,46,76,66,75,55,37,95,49,31,90,67,51,65,55,77,32,57,88,63,82,100,98,76,41
decisiveness,81,52,55,71,70,98,48,31,93,86,73,52,56,96,40,31,96,44,61,44,30,100,39,65,99,96,57,87,85,42,63,51,58,50,52,31,87,70,77
vigilance,87,95,65,85,39,69,31,42,45,62,32,74,60,36,56,58,65,30,48,56,66,51,83,44,40,84,89,58,81,52,42,54,70,35,82,53,36,71,89
creativity,34,34,77,82,59,41,65,85,83,60,87,67,39,99,57,35,86,83,59,50,56,40,82,33,60,66,93,76,36,33,77,49,58,83,82,30,50,73,40
stability,75,71,76,83,59,52,52,53,70,35,90,83,97,93,67,76,75,30,44,65,55,87,62,65,82,90,72,40,45,91,79,45,80,82,67,74,75,75,59
attention_to_detail,52,56,40,61,49,56,32,53,34,85,55,44,63,88,97,35,82,58,96,87,50,37,65,99,41,43,65,37,47,88,73,88,31,81,69,67,64,80,36
decisiveness,39,61,35,36,76,94,85,56,31,72,93,71,57,92,77,41,52,78,75,90,80,36,54,35,72,84,58,81,95,91,93,34,36,87,56,71,43,89,81
attention_to_detail,53,49,82,91,55,79,66,38,50,71,48,62,97,48,52,56,61,78,99,97,61,85,89,88,55,41,79,96,61,44,86,80,47,56,62,59,85,74,87
empathy,30,46,70,43,86,97,91,53,43,78,59,48,67,59,62,78,58,62,97,94,97,89,40,44,60,76,96,90,51,82,88,60,35,72,30,55,81,78,97
empathy,46,47,78,45,79,62,38,57,46,46,88,57,73,43,86,73,45,49,31,98,35,80,30,83,36,71,37,78,82,45,66,92,47,98,91,73,99,49,41
creativity,52,44,91,69,49,77,83,58,73,85,91,37,58,79,81,91,76,49,77,57,58,57,41,92,73,88,30,74,79,73,76,97,52,81,45,86,85,80,74
empathy,80,50,86,37,95,45,62,69,62,46,65,93,94,77,96,56,48,46,40,97,78,74,36,32,48,37,90,87,49,78,91,53,97,34,79,63,59,48,76
confidence,45,91,92,94,52,81,40,99,50,48,36,89,100,61,40,77,79,58,81,44,68,63,89,57,69,91,73,92,80,79,74,84,42,75,61,44,70,91,98
creativity,97,53,88,55,85,76,99,40,69,76,38,80,62,46,82,80,41,55,96,62,39,95,99,100,69,98,77,99,66,77,67,45,97,35,93,84,40,99,82
decisiveness,71,38,76,68,31,82,63,77,94,84,49,66,44,30,99,67,53,42,37,30,34,81,32,66,36,87,100,84,96,36,75,47,53,48,65,52,72,36,65
decisiveness,43,73,51,40,47,77,45,71,73,42,79,76,65,34,52,98,90,42,50,90,61,93,100,68,57,33,79,65,67,81,83,54,81,84,57,51,58,60,82
creativity,60,54,82,72,48,55,72,73,74,78,78,44,47,64,76,46,68,71,34,84,84,64,35,32,85,56,87,55,80,85,40,60,39,36,99,75,47,55,56
decisiveness,42,59,62,60,67,53,45,89,83,79,50,51,77,97,40,34,69,37,68,87,67,89,50,56,68,57,79,36,43,72,80,86,91,57,40,53,79,93,76
stability,46,75,43,71,95,93,34,65,77,35,39,55,57,92,55,41,34,92,52,90,100,45,61,57,54,62,82,54,75,46,90,66,41,43,33,67,50,46,99
confidence,59,98,43,53,82,45,62,53,68,50,92,54,80,43,64,94,72,69,79,32,61,98,67,92,96,72,90,73,41,40,88,73,43,88,94,50,32,55,66
confidence,98,47,55,71,74,66,63,70,82,82,63,69,99,70,88,68,37,71,47,57,89,69,44,48,99,90,39,90,73,98,93,100,53,94,76,73,76,78,85
empathy,51,99,73,52,75,30,55,35,73,56,30,93,62,64,80,38,34,31,88,66,48,33,87,34,98,31,43,74,85,70,78,83,43,87,45,63,43,66,63
stability,60,95,87,74,58,52,32,57,100,58,79,93,50,73,62,47,82,35,59,57,62,62,48,42,40,78,48,94,69,98,55,95,79,30,81,39,73,70,86
vigilance,83,50,93,52,79,66,40,36,71,64,50,51,34,99,32,35,31,36,81,46,92,96,64,80,88,35,36,91,59,88,33,38,59,31,76,45,67,76,50
attention_to_detail,36,77,83,50,35,74,53,53,45,52,30,32,60,63,39,52,82,45,45,36,75,70,88,93,47,81,75,51,59,46,61,58,65,65,94,85,47,81,42
attention_to_detail,58,64,75,48,90,68,95,61,39,62,95,87,78,71,32,87,47,70,97,65,59,91,91,69,79,60,97,86,36,42,45,85,58,89,55,43,85,81,44
vigilance,86,66,64,93,95,59,76,100,99,72,80,69,59,97,75,74,38,72,87,92,31,90,80,43,72,84,38,78,79,76,79,53,32,72,46,41,81,70,90
vigilance,61,63,62,52,60,39,30,35,99,98,84,42,77,36,36,90,58,92,78,37,51,59,53,55,78,81,93,93,84,70,93,94,80,55,95,78,36,81,85
confidence,40,63,48,58,77,90,84,48,61,79,82,56,99,62,53,95,38,31,63,95,68,38,32,79,78,97,86,73,53,46,54,88,49,67,74,71,89,40,56
stability,46,44,78,39,85,86,92,54,73,95,50,68,99,39,75,81,78,99,44,74,71,99,47,49,62,55,39,90,56,69,91,83,45,96,77,99,57,92,55
attention_to_detail,67,97,64,77,81,39,65,80,67,64,37,53,65,72,45,35,59,99,34,98,56,60,78,58,42,62,75,31,94,71,71,36,95,59,51,58,60,71,48
stability,96,38,37,81,81,80,87,85,98,53,40,95,34,94,82,69,54,69,42,35,47,96,93,89,70,51,73,76,88,54,87,40,60,62,85,49,76,36,92
decisiveness,36,80,96,99,98,72,55,95,50,91,72,66,49,52,85,89,49,98,86,56,50,81,76,77,70,30,30,30,43,57,90,69,96,82,78,86,61,64,62
decisiveness,51,63,48,48,73,33,56,33,71,63,62,56,79,50,42,68,78,34,65,43,60,31,69,77,54,84,82,42,32,83,93,72,53,72,75,99,61,53,97
creativity,47,58,45,49,86,83,31,34,47,46,99,82,69,88,48,38,89,60,76,75,39,79,100,92,47,78,48,77,93,30,59,41,78,43,85,63,36,48,74
creativity,99,59,32,88,90,49,35,61,86,84,82,77,76,87,47,57,41,86,71,48,36,31,88,55,95,96,60,79,68,39,75,99,41,61,93,45,44,63,72
attention_to_detail,88,81,46,56,38,45,65,88,78,35,71,37,46,76,96,59,46,43,85,64,61,89,85,67,65,66,99,43,47,43,68,87,82,33,67,83,94,72,96
creativity,77,52,55,60,66,46,48,55,72,91,94,53,31,96,39,55,31,57,41,56,34,97,87,83,60,70,88,37,32,42,78,72,53,90,30,79,62,91,67
creativity,98,92,32,38,54,54,73,47,34,64,96,38,93,57,98,73,80,45,49,31,87,59,68,46,32,38,38,34,91,36,40,59,67,82,83,69,78,31,61
attention_to_detail,39,58,99,46,84,93,71,96,98,69,86,35,74,35,50,93,71,64,54,53,65,61,55,79,63,40,75,40,86,31,68,62,30,59,75,62,72,47,51
vigilance,48,96,81,62,72,45,30,94,31,53,71,59,31,66,47,36,54,70,32,66,95,37,57,67,55,62,81,64,54,53,99,32,96,96,67,74,54,77,71
attention_to_detail,44,73,95,87,40,94,41,55,74,88,34,55,78,63,37,77,47,86,60,34,99,40,35,93,69,99,37,93,72,80,30,94,40,72,37,55,74,48,64
decisiveness,79,98,51,57,85,43,89,96,59,57,81,61,59,35,86,57,89,71,81,54,65,42,59,40,94,52,58,32,56,50,72,31,97,50,92,75,43,46,80
creativity,70,60,66,97,58,90,40,77,62,66,97,54,64,97,69,94,79,66,71,67,76,56,31,72,49,55,65,56,83,45,49,59,90,57,63,41,93,46,47
creativity,93,93,55,36,96,54,89,72,52,30,35,94,49,86,74,66,70,50,70,44,81,63,48,36,83,83,49,50,54,30,93,41,44,88,77,63,98,81,41
creativity,72,48,100,66,61,94,65,73,36,50,37,65,58,54,74,83,81,74,33,86,42,34,64,91,63,36,32,72,39,60,88,57,85,40,65,47,42,50,31
confidence,55,68,73,69,77,79,86,97,82,53,95,41,61,33,70,75,94,64,58,81,93,62,47,67,59,90,76,92,89,81,39,58,38,52,89,87,64,40,57
confidence,82,65,36,90,70,69,94,99,49,63,51,44,93,70,61,93,37,83,63,92,88,44,57,30,94,87,87,79,35,57,33,67,99,74,62,94,63,67,45
vigilance,80,54,72,96,53,88,70,82,86,35,35,33,64,33,97,89,66,55,100,57,49,85,51,80,75,87,57,81,96,76,61,78,83,32,79,93,57,50,70
vigilance,93,100,40,100,90,92,53,37,82,91,92,50,48,34,74,98,56,71,38,80,44,81,87,88,48,47,92,77,35,85,30,75,47,39,67,54,38,81,34
confidence,61,51,50,48,50,92,90,90,50,62,51,31,87,84,92,32,89,95,93,79,86,98,97,49,51,40,89,81,73,68,90,52,55,72,42,49,95,92,40
decisiveness,95,86,98,44,37,57,36,97,71,57,60,58,40,86,87,32,68,42,93,31,58,96,75,46,52,93,97,90,53,63,64,64,59,61,87,50,65,67,86
creativity,57,64,73,47,87,43,94,87,58,52,81,100,97,37,51,74,58,89,72,85,74,45,80,59,71,50,76,59,80,49,33,34,71,66,69,92,93,54,89
creativity,92,52,36,32,69,63,58,30,89,62,91,87,52,68,86,98,68,80,58,31,48,37,33,40,73,65,67,50,55,31,47,80,49,53,75,56,39,59,83
decisiveness,66,67,73,31,37,88,35,34,66,65,85,61,31,61,99,45,33,37,83,31,40,93,40,63,55,60,64,63,33,86,68,51,64,38,88,64,84,51,55
empathy,83,37,63,93,92,43,100,52,94,93,98,90,92,89,87,47,63,63,65,53,84,66,37,58,32,63,55,93,87,77,68,40,88,61,57,37,82,89,30
creativity,51,43,44,40,38,35,69,79,84,68,56,89,86,85,74,57,53,53,68,40,55,36,97,62,81,87,48,85,92,66,43,72,67,49,53,78,42,78,45
empathy,35,64,46,31,56,92,66,40,39,31,93,81,58,52,85,58,31,96,54,58,99,37,80,83,37,53,57,89,31,56,61,40,80,99,42,45,56,32,51
decisiveness,73,70,55,79,54,86,37,93,77,98,56,65,62,49,92,76,48,32,91,41,98,67,44,69,49,33,72,79,96,100,80,99,93,48,93,41,84,51,100
decisiveness,44,83,93,88,48,47,78,68,47,44,31,32,97,53,44,87,63,70,43,37,74,70,83,78,76,34,51,88,78,59,95,78,56,60,82,61,73,61,38
confidence,38,37,30,79,90,77,75,100,72,80,38,69,82,58,59,41,80,51,61,34,83,57,96,63,43,89,38,34,73,89,87,74,30,69,88,56,65,46,66
stability,83,57,97,69,58,92,98,43,94,74,85,82,47,40,68,84,33,99,84,83,61,54,71,77,76,72,90,53,96,92,71,41,95,62,84,93,62,87,98
attention_to_detail,33,64,74,95,91,65,59,35,65,41,68,98,92,83,98,94,37,56,31,65,51,79,77,56,58,91,98,96,62,51,44,56,55,61,34,76,39,72,60
stability,69,52,57,96,92,77,72,80,51,83,99,87,79,58,67,94,58,45,64,73,61,88,88,54,67,65,39,32,69,72,45,46,34,76,45,98,45,72,44
empathy,38,92,86,47,68,34,83,30,72,81,43,43,88,39,88,46,56,42,99,65,61,74,39,100,31,69,81,48,51,52,72,44,82,97,43,77,36,92,83
confidence,83,86,92,47,80,52,57,60,65,92,44,56,78,31,71,71,81,33,55,51,96,58,67,34,49,55,53,54,82,37,79,82,51,89,59,60,82,41,68
stability,69,75,84,36,39,76,93,67,47,65,86,32,94,40,79,99,39,86,65,58,50,39,99,80,88,56,58,100,79,93,49,70,91,61,83,85,49,96,30
confidence,77,45,57,52,34,80,33,38,75,54,30,58,46,100,33,89,45,65,88,62,92,59,69,65,53,44,74,69,81,84,66,58,53,30,41,74,95,81,45
empathy,96,71,87,48,81,85,88,54,48,84,46,89,81,74,60,92,58,56,66,49,94,99,70,39,47,81,65,88,53,38,30,79,67,99,41,85,86,48,46
vigilance,41,63,69,48,39,96,36,97,30,74,98,95,69,57,46,67,87,64,61,82,68,56,58,57,64,45,46,61,45,61,74,58,99,50,48,35,89,86,70
vigilance,34,100,30,50,49,89,98,87,75,40,40,87,56,80,39,68,64,53,63,97,75,53,67,93,44,55,100,52,37,80,99,100,68,78,41,79,50,72,95
confidence,45,55,51,35,88,85,33,89,38,77,46,43,77,59,82,70,93,81,96,54,34,39,56,63,44,52,71,69,52,89,75,41,53,73,73,43,85,31,68
vigilance,84,60,60,32,71,89,91,91,50,43,63,52,39,67,35,91,93,85,45,92,73,58,78,59,35,99,64,75,38,39,82,94,30,82,57,86,75,46,42
decisiveness,44,84,91,40,55,96,85,45,30,35,100,57,82,75,53,65,64,43,41,95,65,41,43,30,89,58,60,66,94,98,93,93,38,81,94,69,33,30,80
confidence,86,83,98,53,84,45,65,70,65,73,84,61,55,43,54,93,69,51,71,44,42,87,34,55,85,95,93,51,61,45,68,38,31,59,47,33,55,40,98
attention_to_detail,35,69,78,82,66,64,53,35,93,49,54,45,32,90,89,55,46,84,50,87,34,95,91,48,63,100,77,54,39,89,67,51,55,31,72,71,43,79,74
creativity,53,31,85,52,75,46,78,57,37,62,44,66,98,86,81,54,55,94,99,46,68,39,45,82,41,35,84,84,50,96,44,88,58,41,48,82,94,47,43
attention_to_detail,90,39,90,48,86,92,95,77,41,77,35,48,63,43,35,50,40,55,40,74,57,60,87,97,100,86,46,83,40,61,85,93,39,85,55,43,61,97,63
attention_to_detail,97,68,50,67,47,36,64,53,59,62,32,40,84,46,52,95,43,70,41,59,89,73,42,35,90,95,44,60,61,71,67,38,38,86,63,50,77,67,88
creativity,39,37,85,76,50,99,61,62,75,88,39,48,81,50,78,95,89,52,88,99,44,100,38,57,47,93,95,97,89,87,92,77,56,41,83,100,66,51,75
attention_to_detail,80,81,64,48,60,66,87,79,35,40,58,94,98,80,81,71,60,96,40,96,71,44,84,53,60,56,92,80,93,43,91,93,94,35,57,67,61,36,44
attention_to_detail,76,39,44,66,33,80,89,96,36,32,62,88,77,73,89,64,39,98,33,72,59,62,73,35,44,60,60,83,39,42,65,84,95,67,81,91,48,97,49
confidence,68,60,68,69,58,67,94,67,94,41,90,67,74,49,69,55,100,91,86,87,96,60,38,51,64,92,96,68,82,46,82,32,77,72,46,40,32,88,48
stability,88,93,100,96,49,70,84,42,49,50,31,84,85,78,89,65,55,87,91,42,82,44,31,46,92,40,52,100,77,66,75,62,78,57,83,57,59,68,42
stability,33,75,30,83,51,39,77,48,37,38,73,69,43,61,53,45,74,56,94,60,58,73,98,90,66,37,30,51,81,38,30,100,37,92,73,43,32,72,51
vigilance,84,82,74,90,38,80,77,74,89,71,96,68,66,96,87,73,42,33,58,40,65,94,50,72,96,93,52,55,36,42,81,63,69,38,40,74,92,31,100
stability,72,100,89,77,30,42,64,59,46,82,100,48,73,88,89,48,78,61,40,58,75,87,35,83,97,49,96,43,38,56,87,83,38,65,64,80,83,50,67
vigilance,78,73,61,78,95,43,65,40,40,83,46,79,37,66,61,30,65,67,79,54,31,72,65,82,37,56,85,84,54,36,85,71,42,73,54,91,43,39,65
confidence,77,79,65,77,37,85,61,53,78,91,32,37,36,96,34,89,42,30,83,88,63,71,71,35,76,47,54,92,55,63,43,64,40,77,67,78,64,80,83
empathy,48,38,98,100,54,46,51,47,59,41,85,69,70,89,55,53,66,49,94,84,66,73,36,84,62,40,95,55,42,53,44,90,55,58,57,78,85,88,85
decisiveness,90,30,68,42,77,65,35,30,92,71,64,65,30,79,47,44,85,59,51,88,37,81,63,43,93,72,63,44,64,66,75,63,51,41,77,97,86,76,33
empathy,50,81,68,77,49,88,97,40,69,81,42,35,81,65,81,94,45,72,84,95,58,92,61,87,52,61,49,71,98,72,91,74,98,94,43,84,33,63,77
stability,83,42,39,70,74,54,41,57,52,85,69,80,82,68,47,32,61,56,95,59,93,72,54,45,60,100,47,86,57,44,89,45,96,51,65,57,31,92,76
empathy,85,88,35,87,95,52,71,75,86,53,49,54,63,69,82,88,64,55,95,65,54,37,63,59,88,58,56,84,40,36,57,95,44,49,93,61,66,63,90
creativity,87,32,41,58,83,67,85,89,74,32,42,38,94,58,69,43,95,83,77,35,72,49,61,44,79,81,62,93,34,87,80,87,49,61,46,65,92,39,63
attention_to_detail,96,56,35,38,59,75,64,59,61,72,50,48,79,66,78,31,87,52,77,76,62,97,31,39,32,32,54,75,32,46,87,65,65,83,54,75,44,77,34
vigilance,52,79,95,89,64,78,76,55,55,41,85,94,58,64,97,99,34,100,67,43,99,50,88,50,38,59,70,53,81,98,48,82,44,60,32,51,86,89,43
attention_to_detail,98,59,80,60,32,94,63,51,54,82,60,52,66,56,70,61,60,39,35,95,42,57,64,35,30,82,73,78,87,67,65,39,96,66,38,56,68,63,56
empathy,48,57,91,86,75,63,82,99,57,60,87,67,62,88,60,77,36,73,34,55,42,60,52,99,55,85,96,39,45,50,65,72,60,99,38,84,79,56,31
creativity,43,83,39,77,48,68,70,50,90,74,34,93,52,65,54,76,33,52,73,96,83,42,51,36,82,32,84,97,33,78,31,86,98,39,34,57,81,84,37
decisiveness,37,72,48,62,39,98,99,99,85,30,68,79,61,69,78,63,71,54,77,42,89,82,81,57,76,96,62,31,38,71,93,98,58,72,84,51,36,69,99
confidence,100,45,94,47,46,69,78,76,70,59,44,62,87,38,80,85,50,79,30,42,39,38,84,54,30,37,83,45,50,43,30,32,97,93,41,48,59,83,61
creativity,50,44,52,90,71,92,100,95,88,43,90,31,62,83,84,55,93,38,98,78,30,61,41,38,56,76,34,58,47,70,53,100,35,66,62,32,35,31,97
creativity,49,30,73,92,70,78,94,62,74,91,31,42,62,81,75,90,54,45,91,36,60,35,55,96,70,54,52,97,57,100,87,82,38,59,69,69,75,40,59
decisiveness,38,75,91,39,51,85,39,76,74,86,62,51,53,92,46,81,60,43,50,45,87,36,34,79,45,71,37,78,89,99,58,98,41,89,56,71,61,44,38
vigilance,34,60,65,68,30,38,65,34,88,96,32,98,44,42,90,64,34,60,91,76,74,58,53,61,99,73,40,72,50,54,52,74,63,67,80,47,75,97,35
attention_to_detail,32,53,30,36,97,88,36,43,95,57,58,63,92,88,57,92,63,81,56,39,89,90,78,77,54,78,60,97,67,33,65,90,87,46,96,50,62,41,31
vigilance,94,50,58,33,56,38,94,85,69,68,89,75,83,69,58,65,33,71,42,37,60,82,61,33,70,89,51,63,89,85,50,61,79,30,66,87,70,67,96
