emotion,Team Leader,HR Manager,Crisis Manager,Innovation Head,Quality Assurance Manager,Security Officer,Operations Manager,Researcher,Sales Representative,Marketing Director,Customer Support,Project Manager,Executive,Product Manager,Negotiator,Entrepreneur,Financial Analyst,Training Manager,Public Relations Officer,Data Scientist,Business Analyst,Software Engineer,IT Support Specialist,UX/UI Designer,Accountant,Legal Advisor,Supply Chain Manager,Graphic Designer,Operations Research Analyst,Logistics Coordinator,Customer Success Manager,Marketing Manager,Content Strategist,Social Media Manager,Chief Technology Officer (CTO),Chief Executive Officer (CEO),Chief Financial Officer (CFO),Chief Operations Officer (COO),Recruiter
attention_to_detail,32,81,55,62,68,73,69,38,78,46,31,78,52,41,43,88,76,95,64,34,96,71,77,40,73,72,46,97,96,74,51,82,70,41,80,55,58,66,86
attention_to_detail,40,44,72,93,79,53,48,74,87,39,98,93,75,69,89,36,88,51,88,67,52,85,45,46,40,45,34,83,69,56,90,50,93,56,95,53,52,76,88
creativity,32,57,100,81,92,100,82,55,38,85,45,33,82,83,49,56,99,68,74,95,76,52,85,78,53,86,95,88,34,74,60,35,87,47,51,64,88,46,66
confidence,67,87,38,41,47,86,59,34,91,56,81,34,81,91,53,73,73,43,68,62,46,61,36,34,54,64,99,49,92,38,95,66,69,60,44,71,53,33,88
confidence,41,32,44,42,38,94,79,40,64,95,30,63,51,87,70,58,53,83,68,55,41,58,99,90,35,30,65,48,44,31,36,49,45,95,42,44,76,50,56
confidence,89,45,45,40,70,45,83,69,62,80,90,61,56,65,65,64,79,84,100,96,95,93,31,90,89,83,99,45,64,34,47,54,57,66,85,84,88,61,56
vigilance,88,88,72,68,89,57,60,98,85,30,37,87,75,98,98,44,33,52,65,62,89,84,44,58,69,63,39,99,83,54,46,38,90,65,35,65,57,90,39
decisiveness,33,70,94,40,31,96,81,43,78,94,51,36,32,42,84,32,67,39,45,96,49,59,66,42,60,41,47,68,55,76,41,90,37,35,98,56,52,52,64
creativity,42,56,34,34,58,36,59,50,45,58,92,84,39,77,58,79,58,53,50,35,39,37,92,67,97,89,41,71,41,68,46,58,43,66,36,71,54,70,96
confidence,82,60,49,80,62,75,52,85,57,53,47,78,87,45,52,99,79,82,49,45,60,30,79,83,88,36,57,53,31,62,69,99,40,57,64,33,92,52,33
attention_to_detail,69,44,100,48,60,34,92,81,93,81,38,58,82,72,40,34,68,64,59,52,96,35,92,48,40,87,50,49,46,79,95,99,52,47,68,84,62,75,41
decisiveness,51,57,40,61,32,50,99,30,68,75,99,46,69,91,54,56,43,62,37,78,93,56,34,37,64,93,77,77,51,74,99,41,53,30,63,51,79,39,79
decisiveness,40,63,63,69,83,59,76,88,37,48,37,66,66,53,96,52,62,56,92,56,81,80,63,78,40,84,72,66,33,41,97,46,38,54,49,46,95,56,78
empathy,67,87,58,71,35,56,34,32,92,82,54,43,33,95,70,66,43,34,68,58,78,75,45,38,51,83,47,68,56,83,88,60,51,66,32,59,47,31,80
vigilance,50,71,67,76,47,38,42,64,54,75,78,88,77,35,94,74,63,69,65,75,55,55,56,35,93,53,62,51,44,42,38,33,66,44,41,60,76,71,77
attention_to_detail,45,60,52,49,66,99,91,75,79,57,69,86,78,38,78,79,96,61,91,59,37,86,47,59,76,41,60,30,36,91,67,90,87,54,43,96,32,30,56
empathy,64,35,68,82,72,90,53,68,46,100,63,54,31,59,38,37,100,62,45,84,89,36,82,49,94,87,59,70,34,55,49,66,38,70,46,52,84,97,39
empathy,34,62,40,47,66,91,99,69,34,96,60,65,49,44,86,51,73,30,46,55,63,86,70,47,87,45,69,62,100,39,82,90,82,43,77,71,85,32,99
creativity,52,79,97,38,41,67,57,78,75,100,66,85,94,100,55,94,83,84,32,39,32,86,68,32,86,90,75,63,55,94,30,42,89,96,46,33,58,72,45
attention_to_detail,73,45,70,38,35,62,59,87,34,60,36,56,33,66,79,34,53,50,32,94,35,45,92,82,92,91,46,94,88,66,53,57,54,78,45,89,56,88,63
vigilance,61,71,99,35,41,65,100,98,76,42,84,33,35,92,66,87,66,64,63,42,44,69,57,75,55,51,72,71,100,39,48,47,50,74,61,35,47,81,77
empathy,64,87,67,43,81,82,70,79,43,63,66,65,98,44,62,57,50,33,76,44,69,96,83,57,34,80,79,85,54,82,80,54,57,45,92,58,67,70,63
stability,80,43,45,72,69,54,85,32,31,89,67,38,52,63,76,48,94,63,73,56,36,61,38,85,59,86,59,70,91,38,31,74,39,59,55,81,100,40,96
stability,35,89,39,70,89,39,74,99,63,47,34,33,99,57,64,32,57,65,40,97,79,81,41,72,60,91,41,87,68,34,49,86,71,94,90,78,39,35,89
confidence,39,84,84,38,62,83,34,79,60,66,84,83,91,47,54,87,61,53,94,31,35,81,51,50,64,70,34,86,48,63,43,30,41,37,47,65,61,61,81
vigilance,94,41,50,85,59,60,78,81,59,96,94,82,89,51,47,36,98,37,54,57,86,47,94,91,79,75,45,61,56,65,82,33,90,44,88,97,81,90,90
attention_to_detail,62,44,52,35,100,98,37,73,72,56,97,49,92,40,55,41,56,82,97,74,53,56,80,94,42,91,50,46,95,81,61,63,35,67,84,85,96,87,33
confidence,45,56,45,48,63,94,67,36,66,88,52,86,62,93,70,55,74,30,68,74,67,34,75,68,88,94,98,59,30,80,88,49,98,43,94,31,32,44,46
decisiveness,63,70,97,40,90,45,54,43,89,60,70,39,51,75,37,43,66,47,51,58,42,43,86,34,87,89,31,79,87,42,31,42,77,57,56,99,89,97,54
empathy,77,98,95,56,84,42,40,37,53,71,76,89,85,56,63,76,60,52,32,74,85,70,66,54,65,60,74,49,68,32,47,32,64,53,70,65,51,65,67
stability,47,91,100,45,85,41,95,89,33,37,98,51,72,32,99,44,64,81,69,98,79,57,75,56,54,42,93,44,70,57,97,40,90,44,73,57,59,54,33
attention_to_detail,75,42,64,97,46,76,66,69,48,32,70,81,71,74,77,77,95,82,41,61,66,33,97,56,97,78,58,37,58,57,78,80,37,90,76,76,69,57,57
confidence,47,90,81,59,69,49,57,63,99,96,84,94,39,64,57,87,50,56,100,99,57,58,93,41,93,68,44,49,44,56,69,91,69,82,39,76,74,49,67
creativity,56,56,37,47,83,42,44,45,73,57,37,61,31,44,72,43,46,68,95,81,56,83,55,40,52,42,90,45,76,41,65,35,56,100,53,74,70,93,42
creativity,95,88,51,37,99,46,49,79,42,67,95,100,89,67,54,33,68,69,33,97,79,89,82,95,36,94,97,42,76,50,58,50,79,31,75,97,56,48,30
decisiveness,76,92,98,34,73,78,59,42,36,45,79,41,40,33,36,80,79,49,77,79,91,35,34,92,57,31,61,94,72,84,71,40,56,39,99,70,61,39,47
empathy,69,94,83,68,67,69,32,87,34,71,54,84,58,55,40,37,83,87,97,56,60,41,70,58,77,100,33,42,32,47,32,44,80,34,43,89,49,93,90
decisiveness,60,89,44,82,34,73,83,55,81,51,80,36,70,70,98,71,46,98,80,56,85,72,73,32,58,34,46,78,98,40,87,94,88,67,39,75,45,41,82
attention_to_detail,40,87,56,68,51,54,68,79,70,47,84,53,62,88,88,30,61,56,45,53,59,78,86,90,72,98,97,60,37,33,69,59,32,88,56,38,55,78,84
confidence,45,45,43,83,50,41,74,87,87,91,52,73,78,83,37,40,51,60,71,70,32,46,81,72,35,48,47,60,94,42,92,76,65,62,60,69,34,53,58
creativity,69,88,88,38,65,64,34,32,55,51,37,49,70,99,74,96,75,68,48,91,93,70,37,40,83,45,40,93,55,65,86,72,98,37,98,34,79,97,92
creativity,99,58,60,92,33,60,93,90,59,62,89,82,59,37,85,87,69,39,34,64,98,66,45,95,82,52,57,44,77,36,35,75,61,65,86,49,51,88,96
decisiveness,39,45,39,60,64,89,46,62,72,66,96,82,82,30,46,67,44,30,85,31,89,69,40,77,88,48,60,74,77,54,53,89,37,58,36,46,75,99,74
creativity,79,60,34,86,73,90,92,45,51,98,54,98,32,33,98,41,97,86,56,52,100,51,95,99,82,59,82,79,50,36,77,86,32,72,74,73,96,49,64
attention_to_detail,40,45,67,66,45,57,81,43,67,55,71,34,63,30,83,95,86,49,60,61,49,41,32,31,92,63,46,50,83,52,73,37,35,36,80,54,30,86,40
creativity,87,50,87,36,73,34,32,67,36,78,45,72,46,37,58,33,62,60,89,77,79,30,73,75,54,30,72,90,43,99,36,47,50,47,31,39,85,89,78
confidence,47,72,57,45,69,30,57,71,37,32,85,90,55,68,53,57,79,63,58,88,93,100,79,96,89,99,82,99,54,60,43,85,76,95,82,59,64,61,84
confidence,44,46,32,69,84,34,58,62,75,78,51,55,91,71,35,45,60,62,91,78,64,37,94,57,33,49,94,88,37,89,69,93,75,32,37,47,88,45,80
stability,55,81,30,33,92,83,32,39,69,95,90,94,81,41,98,75,44,84,52,46,53,63,31,38,99,96,58,49,42,50,32,46,52,58,56,40,84,56,40
creativity,77,52,87,65,75,85,100,66,84,53,48,52,35,73,97,30,61,90,100,92,58,83,57,60,99,77,54,37,39,89,67,61,51,74,81,37,30,59,67
vigilance,64,71,61,46,86,95,83,72,87,31,68,95,65,88,64,86,37,63,57,91,30,62,80,66,44,80,30,51,81,68,32,83,77,93,87,88,43,84,40
decisiveness,46,74,81,64,67,33,97,45,52,87,43,99,60,84,55,86,39,70,75,42,61,93,31,39,98,47,39,80,41,78,80,35,61,57,40,56,82,94,92
confidence,58,69,31,97,30,58,97,46,74,47,48,80,72,82,52,36,32,86,44,72,78,43,86,50,30,99,76,74,91,91,75,98,62,41,54,62,38,53,78
decisiveness,49,53,91,58,59,63,67,94,44,33,75,82,45,81,68,31,39,82,43,77,88,62,69,82,52,49,47,61,31,57,30,65,35,84,95,59,60,79,85
vigilance,58,64,46,32,84,90,95,68,78,37,65,93,97,48,44,88,33,30,88,73,30,66,31,95,56,64,33,82,100,53,70,55,49,81,50,30,39,39,32
attention_to_detail,70,71,43,48,100,68,74,96,73,98,86,49,49,90,52,85,98,95,90,80,37,93,50,50,53,67,57,51,89,69,76,88,75,86,39,90,53,88,87
confidence,96,67,51,70,89,68,55,30,81,55,59,36,69,88,40,35,61,84,77,41,99,32,61,83,72,80,94,85,70,93,63,84,87,55,64,100,100,39,47
vigilance,48,56,70,85,89,40,61,62,90,44,33,51,36,43,42,31,52,71,40,64,32,44,66,89,78,95,68,32,38,45,95,90,76,56,74,85,33,72,85
attention_to_detail,99,88,81,78,81,68,52,33,35,56,50,99,77,94,57,76,69,92,57,64,86,49,59,32,98,47,94,70,70,55,47,58,92,49,96,98,31,35,33
creativity,41,75,55,84,91,64,62,35,73,84,74,98,54,95,88,64,46,73,76,35,73,68,73,88,58,91,42,70,98,97,81,79,67,76,75,96,81,88,59
creativity,94,37,48,91,65,99,63,44,90,35,54,44,44,99,32,41,43,45,58,62,60,57,79,41,30,49,86,43,37,53,64,44,99,95,50,96,65,72,41
stability,59,80,63,36,68,60,67,97,32,62,46,60,53,68,47,50,60,54,71,91,38,64,40,57,62,85,76,55,65,95,47,100,37,100,45,56,58,75,66
confidence,34,96,75,73,52,75,92,53,96,52,38,88,99,89,93,62,73,87,92,91,34,52,45,88,57,31,46,47,60,80,98,90,86,44,77,55,38,96,67
stability,71,75,92,34,41,32,84,76,59,87,88,66,61,31,94,51,32,64,32,80,90,96,37,50,63,64,54,99,59,74,87,63,72,36,63,98,97,87,42
vigilance,34,75,70,41,56,30,99,41,75,77,65,94,88,99,86,56,56,68,65,98,61,75,58,35,58,93,65,57,94,60,48,78,40,45,81,59,96,66,51
decisiveness,80,75,76,84,76,70,44,87,81,88,80,40,34,34,91,35,35,32,62,67,49,82,82,33,92,59,39,68,63,72,54,95,90,47,91,45,81,73,31
vigilance,37,31,87,38,57,88,62,77,50,84,85,36,30,42,77,33,89,73,76,42,81,69,83,78,87,32,93,53,70,82,49,41,44,94,86,52,58,32,56
confidence,57,47,68,36,76,35,79,81,32,61,50,40,52,84,47,54,37,82,62,33,52,87,40,73,88,34,98,51,41,35,31,41,78,61,70,52,85,51,63
stability,75,95,53,65,57,98,100,83,98,32,89,90,42,79,87,92,90,74,89,52,69,84,100,52,63,83,39,37,44,52,51,36,62,100,63,41,40,31,58
confidence,62,82,98,92,100,48,47,56,81,82,75,91,32,71,33,37,84,93,61,46,70,36,68,36,36,81,31,95,85,45,78,35,32,40,37,78,72,59,71
stability,86,65,94,97,44,97,66,49,46,83,74,85,72,65,81,88,52,58,82,36,97,62,64,44,61,98,99,33,64,49,95,37,47,70,35,38,49,81,83
empathy,80,47,51,90,81,38,86,99,32,36,43,51,79,55,49,39,62,36,41,43,63,61,78,95,49,44,93,68,39,31,71,75,36,99,66,42,77,87,69
decisiveness,91,39,97,95,50,96,62,99,84,67,57,39,93,40,86,57,86,41,39,73,56,88,62,44,75,62,82,76,35,36,48,63,40,44,36,32,57,32,77
creativity,85,37,50,88,67,85,51,47,63,77,69,51,72,53,91,60,39,59,90,93,67,70,54,82,98,48,32,52,37,42,74,89,81,98,74,30,83,94,67
confidence,33,39,86,34,45,75,82,89,97,31,50,50,79,83,57,84,96,63,49,38,87,58,94,78,37,70,81,38,82,72,98,42,61,92,72,76,68,38,51
attention_to_detail,84,41,38,34,98,36,78,75,74,78,57,39,57,71,88,64,86,49,43,66,67,67,56,100,40,71,57,37,57,39,54,42,83,50,65,61,42,30,97
creativity,79,93,44,34,57,74,96,53,36,35,97,75,89,81,88,82,47,79,81,59,78,82,85,59,37,46,39,44,72,96,69,91,94,80,35,35,42,89,51
decisiveness,97,88,91,69,98,95,91,92,51,52,64,44,44,77,68,43,51,50,99,73,59,91,69,93,57,68,67,63,44,100,33,32,66,52,84,31,44,74,81
creativity,47,98,73,57,42,86,97,72,38,52,67,54,54,36,59,93,84,40,96,91,52,49,69,62,78,44,31,58,39,46,76,56,68,73,66,81,98,45,91
vigilance,81,50,95,61,45,89,51,53,61,56,85,53,66,91,32,30,97,63,31,49,31,78,61,59,91,32,72,55,73,78,93,56,55,64,44,39,31,44,59
attention_to_detail,65,87,79,97,96,77,88,66,32,96,96,71,49,88,45,59,60,36,31,88,84,43,52,86,51,94,68,53,69,52,60,64,51,66,49,92,64,61,53
stability,40,34,55,48,30,56,92,61,49,71,84,34,45,50,100,37,42,80,56,60,76,60,83,100,65,79,87,96,69,43,69,78,95,47,50,47,63,85,55
creativity,56,56,42,77,40,83,38,86,74,53,54,49,83,67,88,50,32,82,36,73,92,77,36,83,91,49,59,82,72,77,71,30,36,53,79,85,30,80,83
creativity,61,70,60,61,49,61,37,66,50,54,34,30,62,39,86,76,69,83,93,37,60,40,57,63,60,87,99,79,87,35,46,74,56,79,61,88,30,35,46
confidence,98,60,72,33,89,98,79,61,63,73,78,87,72,33,56,89,39,71,62,37,73,72,74,98,85,98,64,41,92,70,71,41,49,30,33,82,98,100,55
creativity,84,86,61,67,67,46,32,34,46,61,42,64,67,38,58,88,53,59,33,89,62,76,73,39,93,35,64,87,91,84,70,66,40,47,97,45,88,39,79
confidence,88,67,52,97,85,57,93,59,42,33,66,35,59,71,66,59,54,46,97,33,38,50,62,83,87,49,46,47,93,53,97,85,87,73,86,94,73,33,85
attention_to_detail,58,34,42,90,53,88,43,60,71,36,56,73,42,56,37,99,87,53,35,34,65,57,35,68,65,49,44,69,60,57,91,80,88,61,66,92,30,63,86
stability,91,95,100,53,52,73,35,96,66,90,100,80,43,95,53,51,43,32,61,70,74,45,96,75,78,35,90,66,52,85,56,72,90,93,83,100,93,81,49
decisiveness,94,43,74,55,38,99,59,57,46,30,48,68,81,96,99,44,54,71,46,59,30,99,47,33,57,67,42,65,42,43,48,50,59,75,57,67,98,84,83
attention_to_detail,80,66,35,49,55,40,34,67,92,69,45,76,38,78,86,38,51,58,88,66,73,61,56,31,52,53,54,44,63,46,73,57,42,73,85,86,34,70,77
empathy,66,56,77,97,44,82,37,67,100,80,34,78,35,100,95,90,91,100,70,67,54,40,80,37,99,79,81,99,94,62,46,47,32,71,88,69,85,41,65
attention_to_detail,58,97,90,90,75,30,88,76,73,35,53,94,89,50,68,75,75,87,35,85,82,87,42,89,86,32,45,98,56,48,53,59,53,74,87,93,64,37,83
empathy,89,33,92,41,76,63,34,85,46,31,55,71,44,36,43,48,65,48,48,90,75,100,70,34,38,60,46,44,87,47,65,36,93,78,97,100,71,84,50
creativity,40,73,31,89,74,51,94,42,48,65,31,56,75,64,72,47,100,39,60,60,77,52,94,84,55,84,71,63,63,36,41,44,71,60,42,72,67,50,48
stability,58,37,62,89,92,67,31,44,87,56,66,32,71,33,85,79,47,50,65,97,74,39,30,71,97,46,48,65,56,50,83,44,35,83,77,63,100,50,51
decisiveness,32,41,75,82,92,62,79,53,90,74,91,66,76,59,30,56,69,74,45,92,89,57,84,86,82,51,87,99,82,67,72,71,91,50,38,86,64,34,83
stability,83,75,51,64,66,44,66,64,65,34,89,33,48,72,65,91,51,87,70,80,68,59,70,63,50,34,79,91,75,79,31,80,39,96,85,93,47,94,52
vigilance,43,51,80,81,75,87,84,95,75,82,59,37,92,87,97,71,32,68,66,77,64,92,51,38,59,97,34,39,78,50,90,50,51,98,49,48,64,53,85
vigilance,39,31,84,36,85,52,51,94,84,57,95,34,56,66,93,33,80,56,51,99,58,76,71,84,90,90,85,49,89,67,57,90,76,60,72,46,52,56,53
creativity,47,70,58,65,80,100,31,54,74,48,69,88,34,68,62,88,48,42,72,43,52,87,75,33,82,45,34,35,39,40,35,36,98,61,47,30,99,66,41
attention_to_detail,94,38,60,48,77,34,77,52,65,77,36,45,31,67,56,68,79,81,62,69,39,80,57,43,73,39,69,75,57,89,37,53,37,39,97,94,49,82,54
confidence,31,41,47,80,47,80,56,48,36,37,66,88,77,100,85,99,32,32,85,98,73,82,66,98,78,53,40,63,79,52,70,30,31,58,61,34,47,66,53
confidence,37,87,83,54,52,42,40,79,31,91,30,30,95,94,88,69,53,50,100,42,84,76,95,51,38,35,61,89,74,45,39,80,77,71,30,82,89,78,88
empathy,39,51,55,62,74,77,49,69,36,32,63,75,52,74,68,96,53,99,69,91,48,70,94,50,97,76,54,32,64,34,49,43,98,60,100,83,91,91,68
stability,48,71,97,44,30,65,34,71,45,41,39,88,44,65,57,82,58,60,32,67,43,40,73,96,60,81,69,38,85,63,75,87,53,73,32,58,93,72,44
decisiveness,34,43,93,49,90,60,93,68,78,78,88,91,46,96,90,57,34,60,79,37,73,94,52,50,54,89,73,65,51,87,40,94,78,56,37,90,41,94,33
decisiveness,70,60,85,31,64,68,52,49,52,58,60,66,66,34,40,86,38,99,52,34,50,43,67,84,44,33,82,93,82,49,59,95,93,82,72,32,68,100,95
empathy,43,44,76,77,63,44,83,51,64,48,73,32,47,60,60,42,45,57,43,92,36,96,65,80,43,78,89,42,63,43,85,88,71,100,51,58,45,89,99
creativity,94,87,99,47,83,89,69,42,64,91,78,61,49,42,89,70,89,73,100,91,75,42,48,95,69,38,85,97,30,40,77,95,91,34,43,33,36,72,38
stability,61,51,35,55,39,35,57,47,91,37,79,69,44,39,66,87,85,48,61,37,86,58,36,67,54,31,44,66,54,42,88,33,49,68,86,61,32,39,69
stability,77,88,81,90,33,40,36,88,54,38,58,62,98,100,71,69,53,68,32,90,45,99,65,48,89,81,46,85,37,49,78,53,68,40,87,52,30,66,60
attention_to_detail,60,47,100,40,36,39,83,73,50,69,46,59,62,36,79,67,94,58,66,54,71,79,54,45,51,43,75,77,77,52,46,94,30,90,56,39,66,59,35
attention_to_detail,61,31,45,68,47,59,41,51,40,48,41,87,44,50,56,74,38,94,96,85,87,77,66,85,79,44,63,65,91,32,82,79,56,62,48,37,89,40,30
confidence,79,84,85,49,57,71,45,92,80,45,47,36,79,45,83,44,74,45,95,69,85,64,55,94,81,53,91,30,87,75,72,59,80,83,82,66,84,69,87
empathy,79,78,71,78,31,40,91,55,42,55,71,48,58,48,47,38,58,55,75,42,65,95,33,95,82,34,60,51,73,68,72,57,42,38,33,47,80,53,46
stability,64,71,77,78,76,74,46,60,61,77,72,94,88,57,79,55,93,45,79,30,79,94,84,93,82,89,88,61,41,77,30,99,94,35,32,78,91,62,79
confidence,89,60,39,34,74,35,34,86,96,77,76,65,64,70,30,96,49,77,54,80,33,68,82,58,98,30,86,84,69,89,87,52,92,60,71,54,93,75,98
attention_to_detail,91,68,66,78,60,45,82,85,93,39,86,69,65,47,33,78,37,75,98,59,72,69,70,81,32,96,31,96,72,53,91,45,30,66,45,96,79,93,68
empathy,40,79,76,42,45,79,85,100,89,47,76,78,85,90,69,73,71,43,80,68,36,95,47,99,46,90,68,55,84,34,56,49,34,64,66,82,83,80,35
attention_to_detail,47,36,96,65,89,36,53,58,90,38,39,82,80,84,64,88,76,38,78,83,81,50,77,56,79,80,98,42,30,44,83,92,38,79,58,61,94,71,52
attention_to_detail,32,95,93,83,75,87,70,41,70,78,79,37,76,65,44,78,38,60,78,46,53,86,88,75,42,41,71,72,90,98,72,98,62,50,79,33,93,61,100
vigilance,87,45,44,89,64,53,71,88,93,68,88,75,69,94,80,74,93,70,89,97,79,85,98,79,64,75,55,69,51,43,33,79,51,54,60,46,42,92,71
attention_to_detail,59,46,39,95,56,45,78,49,58,94,43,91,73,53,75,89,92,51,55,79,72,86,53,97,58,74,46,60,86,33,81,68,87,43,84,86,89,33,55
stability,73,80,40,95,63,34,49,31,36,77,93,50,45,85,90,96,72,32,37,94,48,58,36,65,99,76,57,44,60,65,84,99,73,74,69,98,88,52,67
confidence,75,60,44,87,95,76,81,56,66,83,91,48,100,100,96,83,36,88,61,42,40,54,67,42,33,82,44,86,57,67,88,83,54,38,100,94,94,70,85
attention_to_detail,87,54,49,53,62,72,56,57,91,65,63,82,53,53,78,77,84,45,71,41,31,45,66,64,60,51,78,93,42,55,56,94,74,43,62,32,47,77,82
